fraud,election_viol,election_viol2,num_closed_polls,dist2kabul,elevation
0,.094486699,.0089277364,16,556.9679,1528.3666
1,0,0,13,515.02032,2109.9119
0,.073318265,.0053755678,9,624.92249,1064.2245
1,.059824713,.0035789963,4,685.52692,921.16998
0,.031094527,.00096686964,0,750.72406,858.41522
0,0,0,1,764.42218,683.12402
0,0,0,0,794.08807,569.9718
0,0,0,0,770.85187,592.56268
1,.08789663,.0077258181,35,696.25787,697.38434
0,0,0,1,780.17566,481.61731
0,0,0,2,771.99097,472.44357
0,0,0,5,819.00525,549.77539
0,0,0,1,719.49121,576.52838
0,.2586402,.066894755,7,656.93195,688.89966
0,.059930928,.0035917163,4,541.59839,852.90326
1,.22511049,.050674729,4,519.7876,862.21002
0,0,0,6,445.29276,1318.9963
1,.3000809,.090048544,7,470.52313,1174.5591
0,.074394614,.0055345586,2,491.65891,1492.4166
0,0,0,1,552.57794,1100.7599
1,.39913622,.15930973,36,590.42603,814.67328
1,.24813157,.061569277,1,590.94,842.28491
0,.13128421,.017235544,3,623.85529,840.29803
0,.46014696,.21173522,22,471.31079,1069.2787
0,.25308982,.064054452,4,695.52014,977.2276
0,.029400405,.00086438382,125,465.87958,994.36835
0,.17021856,.028974358,25,485.96402,1173.1801
1,.072628237,.0052748602,21,400.6322,1554.0593
1,.15230118,.023195649,26,450.06796,1153.9949
1,.025070196,.00062851474,24,441.66495,1551.1364
0,.081124388,.0065811658,31,508.76086,1007.2546
1,.18328819,.03359456,44,536.89642,1109.5052
1,0,0,18,616.9256,1009.5329
1,.030819966,.00094987027,228,483.55835,1244.2649
0,.019275622,.0003715496,29,414.24774,1492.1013
1,0,0,18,386.6893,2031.8486
0,0,0,0,400.42636,1775.4149
1,.63658434,.40523964,66,476.07416,1058.2
0,.27649572,.076449893,7,327.63898,1768.5265
0,.023944354,.00057333207,10,279.80069,2030.6082
0,.11370958,.01292987,5,302.13666,1983.9185
0,.042532377,.0018090032,1,313.51208,2539.6482
0,0,0,1,359.82425,1706.5916
1,0,0,1,381.70667,1503.7699
0,.074829765,.0055994932,4,345.82935,1997.7708
0,.27597627,.076162897,0,353.24078,1959.843
0,.037491094,.0014055823,12,328.17001,2160.0696
0,0,0,7,261.36627,2508.2439
0,.035447165,.0012565015,0,297.22449,2082.1233
1,.082791358,.0068544089,20,365.08902,1674.0432
0,.059512001,.0035416784,6,322.423,2296.6548
0,.01020554,.00010415304,17,285.49701,2732.5198
0,.0120421,.00014501215,38,385.59186,1630.282
1,.077734306,.006042622,6,405.54535,1418.1865
0,.0070477128,.00004967026,3,350.0423,2756.1633
0,.021008404,.00044135301,0,446.01306,2623.0583
